Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
D,Denny Hamlin (43606988),Denny Hamlin,43606988,D,11000,Window World 450,Nasca,57.7,,
D,Ryan Blaney (43606989),Ryan Blaney,43606989,D,10700,Window World 450,Nasca,46.2,,
D,Kyle Larson (43606990),Kyle Larson,43606990,D,10500,Window World 450,Nasca,32.6,,
D,Christopher Bell (43606991),Christopher Bell,43606991,D,10200,Window World 450,Nasca,36.4,,
D,William Byron (43606992),William Byron,43606992,D,9900,Window World 450,Nasca,32.1,,
D,Chase Elliott (43606993),Chase Elliott,43606993,D,9700,Window World 450,Nasca,36.9,,
D,Joey Logano (43606994),Joey Logano,43606994,D,9500,Window World 450,Nasca,22.3,,
D,Tyler Reddick (43606995),Tyler Reddick,43606995,D,9200,Window World 450,Nasca,42.2,,
D,Chase Briscoe (43606996),Chase Briscoe,43606996,D,8900,Window World 450,Nasca,32.6,,
D,Carson Hocevar (43606997),Carson Hocevar,43606997,D,8700,Window World 450,Nasca,32.3,,
D,Ty Gibbs (43606998),Ty Gibbs,43606998,D,8500,Window World 450,Nasca,33.2,,
D,Chris Buescher (43606999),Chris Buescher,43606999,D,8300,Window World 450,Nasca,30.3,,
D,Ross Chastain (43607000),Ross Chastain,43607000,D,8100,Window World 450,Nasca,24.2,,
D,Bubba Wallace (43607001),Bubba Wallace,43607001,D,7900,Window World 450,Nasca,28.3,,
D,Ryan Preece (43607002),Ryan Preece,43607002,D,7700,Window World 450,Nasca,28.7,,
D,Brad Keselowski (43607003),Brad Keselowski,43607003,D,7600,Window World 450,Nasca,29.1,,
D,Daniel Suarez (43607004),Daniel Suarez,43607004,D,7400,Window World 450,Nasca,30.3,,
D,Austin Cindric (43607005),Austin Cindric,43607005,D,7200,Window World 450,Nasca,27.3,,
D,Josh Berry (43607006),Josh Berry,43607006,D,7100,Window World 450,Nasca,17,,
D,Alex Bowman (43607007),Alex Bowman,43607007,D,7000,Window World 450,Nasca,23.9,,
D,Shane Van Gisbergen (43607008),Shane Van Gisbergen,43607008,D,6800,Window World 450,Nasca,30,,
D,Erik Jones (43607009),Erik Jones,43607009,D,6600,Window World 450,Nasca,33,,
D,Zane Smith (43607010),Zane Smith,43607010,D,6500,Window World 450,Nasca,22.9,,
D,Michael McDowell (43607011),Michael McDowell,43607011,D,6400,Window World 450,Nasca,26.3,,
D,Austin Dillon (43607012),Austin Dillon,43607012,D,6300,Window World 450,Nasca,26,,
D,Austin Hill (43607013),Austin Hill,43607013,D,6100,Window World 450,Nasca,8.8,,
D,Connor Zilisch (43607014),Connor Zilisch,43607014,D,6000,Window World 450,Nasca,16,,
D,Riley Herbst (43607015),Riley Herbst,43607015,D,5800,Window World 450,Nasca,22.3,,
D,Noah Gragson (43607016),Noah Gragson,43607016,D,5700,Window World 450,Nasca,23.1,,
D,Todd Gilliland (43607017),Todd Gilliland,43607017,D,5600,Window World 450,Nasca,25.7,,
D,AJ Allmendinger (43607018),AJ Allmendinger,43607018,D,5500,Window World 450,Nasca,27,,
D,John H. Nemechek (43607019),John H. Nemechek,43607019,D,5400,Window World 450,Nasca,24.5,,
D,Ricky Stenhouse Jr (43607020),Ricky Stenhouse Jr,43607020,D,5200,Window World 450,Nasca,24.7,,
D,Cole Custer (43607021),Cole Custer,43607021,D,5100,Window World 450,Nasca,17.6,,
D,Ty Dillon (43607022),Ty Dillon,43607022,D,5000,Window World 450,Nasca,23.4,,
D,Cody Ware (43607023),Cody Ware,43607023,D,4800,Window World 450,Nasca,18,,
D,Chad Finchum (43607024),Chad Finchum,43607024,D,4500,Window World 450,Nasca,16.3,,
