Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
132686-82878,D,Denny,Denny Hamlin,Hamlin,62.14230581,26,14000,,,,,,,,,Driver
132686-82888,D,Kyle,Kyle Larson,Larson,45.51154034,26,13500,,,,,,,,,Driver
132686-102623,D,Tyler,Tyler Reddick,Reddick,52.29615197,26,13000,,,,,,,,,Driver
132686-118521,D,Christopher,Christopher Bell,Bell,45.90384615,26,12500,,,,,,,,,Driver
132686-146285,D,Chase,Chase Briscoe,Briscoe,50.94230769,26,12000,,,,,,,,,Driver
132686-82872,D,Chase,Chase Elliott,Elliott,50.02,25,11500,,,,,,,,,Driver
132686-82904,D,Bubba,Bubba Wallace,Wallace,46.01538555,26,11000,,,,,,,,,Driver
132686-82858,D,Ryan,Ryan Blaney,Blaney,55.93846248,26,10500,,,,,,,,,Driver
132686-82864,D,William,William Byron,Byron,49.73076923,26,10000,,,,,,,,,Driver
132686-174405,D,Ty,Ty Gibbs,Gibbs,47.94615291,26,9500,,,,,,,,,Driver
132686-187152,D,Carson,Carson Hocevar,Hocevar,51.21922889,26,9000,,,,,,,,,Driver
132686-82889,D,Joey,Joey Logano,Logano,44.50769043,26,8500,,,,,,,,,Driver
132686-82861,D,Chris,Chris Buescher,Buescher,48.52799805,25,8200,,,,,,,,,Driver
132686-82883,D,Erik,Erik Jones,Jones,49.88461538,26,8000,,,,,,,,,Driver
132686-82886,D,Brad,Brad Keselowski,Keselowski,45.71600098,25,7800,,,,,,,,,Driver
132686-200943,D,Corey,Corey Heim,Heim,49.36249924,8,7500,,,,,,,,,Driver
132686-146657,D,Austin,Austin Cindric,Cindric,46.29230675,26,7200,,,,,,,,,Driver
132686-82859,D,Alex,Alex Bowman,Bowman,41.92272672,22,7000,,,,,,,,,Driver
132686-82866,D,Ross,Ross Chastain,Chastain,42.86799805,25,6800,,,,,,,,,Driver
132686-82901,D,Daniel,Daniel Suarez,Suarez,50.49230957,26,6500,,,,,,,,,Driver
132686-188888,D,Shane,Shane van Gisbergen,van Gisbergen,47.26154034,26,6200,,,,,,,,,Driver
132686-101999,D,Ryan,Ryan Preece,Preece,45.12799805,25,6000,,,,,,,,,Driver
132686-118091,D,John Hunter,John Hunter Nemechek,Nemechek,41.39600098,25,5800,,,,,,,,,Driver
132686-150102,D,Josh,Josh Berry,Berry,36.43461492,26,5500,,,,,,,,,Driver
132686-222594,D,Connor,Connor Zilisch,Zilisch,35.74615479,26,5200,,,,,,,,,Driver
132686-182931,D,Riley,Riley Herbst,Herbst,41.87600098,25,5000,,,,,,,,,Driver
132686-82891,D,Michael,Michael McDowell,McDowell,46.48845966,26,4800,,,,,,,,,Driver
132686-82869,D,Austin,Austin Dillon,Dillon,45.6384606,26,4500,,,,,,,,,Driver
132686-164023,D,Todd,Todd Gilliland,Gilliland,42.51200195,25,4200,,,,,,,,,Driver
132686-170604,D,Zane,Zane Smith,Smith,42.04,25,4000,,,,,,,,,Driver
132686-175280,D,Austin,Austin Hill,Hill,33.60909202,11,3800,,,,,,,,,Driver
132686-82854,D,AJ,AJ Allmendinger,Allmendinger,43.23076923,26,3500,,,,,,,,,Driver
132686-147038,D,Noah,Noah Gragson,Gragson,41.38077017,26,3200,,,,,,,,,Driver
132686-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,43.30384709,26,3000,,,,,,,,,Driver
132686-82870,D,Ty,Ty Dillon,Dillon,42.28077111,26,2800,,,,,,,,,Driver
132686-82905,D,Cody,Cody Ware,Ware,37.22,25,2500,,,,,,,,,Driver
132686-82867,D,Cole,Cole Custer,Custer,35.14399902,25,2500,,,,,,,,,Driver
132686-242689,D,Daniel,Daniel Dye,Dye,37,2,2000,,,,,,,,,Driver
132686-102625,D,Casey,Casey Mears,Mears,27.60000102,3,2000,,,,,,,,,Driver
